R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CA,A_CLAU_UNICA_CA,A_ID_CA,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA,_merge
11,11,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-19,547874,22,2025/00017,3518.68,38415.08,2025-12-18,547874,5796-C-C/00012,both,12,5796-C-C/00012,12,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00014,2025-11-19,22,2025-11-19,ALUBIX SL,C-C/00012,3518.68,41989.42,Hecho,both
12,12,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-19,547875,22,2025/00018,3574.34,41989.42,2025-12-18,547875,5796-C-C/00011,both,11,5796-C-C/00011,11,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00013,2025-11-19,22,2025-11-19,ROCALLA SA,C-C/00011,3574.34,38470.74,Hecho,both
13,13,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-26,551183,23,2025/00021,3695.34,45684.76,2025-12-18,551183,5796-C-C/00014,both,14,5796-C-C/00014,14,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00016,2025-11-26,23,2025-11-26,ALUBIX SL,C-C/00014,3695.34,49631.78,Hecho,both
14,14,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-26,551187,27,2025/00022,3947.02,49631.78,2025-12-18,551187,5796-C-C/00013,both,13,5796-C-C/00013,13,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00015,2025-11-26,27,2025-11-26,ROCALLA SA,C-C/00013,3947.02,45936.44,Hecho,both
15,15,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-12-03,554187,27,2025/00024,3605.8,53237.58,2025-12-18,554187,5796-C-C/00016,both,16,5796-C-C/00016,16,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00019,2025-12-04,27,2025-12-03,ALUBIX SL,C-C/00016,3605.8,57395.14,Hecho,both
16,16,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-12-03,554188,31,2025/00027,4157.56,57395.14,2025-12-18,554188,5796-C-C/00015,both,15,5796-C-C/00015,15,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00018,2025-12-04,31,2025-12-03,ROCALLA SA,C-C/00015,4157.56,53789.34,Hecho,both
17,17,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-12-10,556692,30,2025/00028,3780.04,61175.18,2025-12-18,556692,5796-C-C/00019,both,18,5796-C-C/00019,18,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00023,2025-12-11,30,2025-12-10,ALUBIX SL,C-C/00019,3780.04,65589.26,Hecho,both
18,18,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-12-10,556693,32,2025/00032,4414.08,65589.26,2025-12-18,556693,5796-C-C/00018,both,17,5796-C-C/00018,17,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00022,2025-12-11,32,2025-12-10,ROCALLA SA,C-C/00018,4414.08,61809.22,Hecho,both
19,19,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX,2025-12-17,560877,33,2025/00032,3927.66,69516.92,2025-12-18,560877,5796-C-C/00020,both,19,5796-C-C/00020,19,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00024,2025-12-18,33,2025-12-17,ALUBIX SL,C-C/00020,3927.66,69516.92,Hecho,both
20,20,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA,2025-12-17,560878,35,2025/00037,4307.6,73824.52,2025-12-18,560878,5796-C-C/00021,both,20,5796-C-C/00021,20,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00025,2025-12-18,35,2025-12-17,ROCALLA SA,C-C/00021,4307.6,73824.52,Hecho,both
21,21,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX,2025-12-29,561696,34,2025/00034,162.14,73986.66,2025-12-18,,,left_only,,,,,,,,,,,,,,,left_only
22,22,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA,2025-12-29,561697,39,2025/00041,157.3,74143.96,2025-12-18,,,left_only,,,,,,,,,,,,,,,left_only
23,1,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-17,535282,5,2025/00003,1274.13,1274.13,2025-12-19,535282,6265-C-C/00001,both,21,6265-C-C/00001,1,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00001,2025-10-17,5,2025-10-17,ALUBIX SL,C-C/00001,1274.13,1274.13,Hecho,both
24,2,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-17,535304,2,2025/00004,1231.78,2505.91,2025-12-19,535304,6265-C-C/00002,both,22,6265-C-C/00002,2,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00002,2025-10-17,2,2025-10-17,ROCALLA SA,C-C/00002,1231.78,2505.91,Hecho,both
25,3,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-22,537485,6,2025/00008,3816.34,6322.25,2025-12-19,537485,6265-C-C/00003,both,23,6265-C-C/00003,3,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00003,2025-10-22,6,2025-10-22,ALUBIX SL,C-C/00003,3816.34,6322.25,Hecho,both
26,4,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-22,537489,7,2025/00005,4205.96,10528.21,2025-12-19,537489,6265-C-C/00004,both,24,6265-C-C/00004,4,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00005,2025-10-22,7,2025-10-22,ROCALLA SA,C-C/00004,4205.96,10528.21,Hecho,both
27,5,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-29,540079,11,2025/00009,3764.31,14292.52,2025-12-19,540079,6265-C-C/00005,both,25,6265-C-C/00005,5,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00006,2025-10-29,11,2025-10-29,ALUBIX SL,C-C/00005,3764.31,14292.52,Hecho,both
28,6,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-29,540091,9,2025/00009,3963.96,18256.48,2025-12-19,540091,6265-C-C/00006,both,26,6265-C-C/00006,6,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00007,2025-10-29,9,2025-10-29,ROCALLA SA,C-C/00006,3963.96,18256.48,Hecho,both
29,7,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-05,542308,13,2025/00014,4164.82,22421.3,2025-12-19,542308,6265-C-C/00007,both,27,6265-C-C/00007,7,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00008,2025-11-05,13,2025-11-05,ALUBIX SL,C-C/00007,4164.82,22421.3,Hecho,both
30,8,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-05,542324,10,2025/00010,4641.56,27062.86,2025-12-19,542324,6265-C-C/00008,both,28,6265-C-C/00008,8,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00009,2025-11-05,10,2025-11-05,ROCALLA SA,C-C/00008,4641.56,27062.86,Hecho,both
31,9,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-12,544980,14,2025/00015,3760.68,30823.54,2025-12-19,544980,6265-C-C/00009,both,29,6265-C-C/00009,9,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00010,2025-11-12,14,2025-11-12,ALUBIX SL,C-C/00009,3760.68,30823.54,Hecho,both
32,10,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-12,544983,13,2025/00013,3886.52,34710.06,2025-12-19,544983,6265-C-C/00010,both,30,6265-C-C/00010,10,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00011,2025-11-12,13,2025-11-12,ROCALLA SA,C-C/00010,3886.52,34710.06,Hecho,both
33,11,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-19,547940,15,2025/00018,4780.71,39490.77,2025-12-19,547940,6265-C-C/00011,both,31,6265-C-C/00011,11,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00012,2025-11-19,15,2025-11-19,ALUBIX SL,C-C/00011,4780.71,39490.77,Hecho,both
34,12,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-19,547942,17,2025/00017,3644.52,43135.29,2025-12-19,547942,6265-C-C/00012,both,32,6265-C-C/00012,12,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00013,2025-11-19,17,2025-11-19,ROCALLA SA,C-C/00012,3644.52,43135.29,Hecho,both
35,13,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-26,551286,20,2025/00020,5021.5,48156.79,2025-12-19,551286,6265-C-C/00014,both,34,6265-C-C/00014,14,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00015,2025-11-26,20,2025-11-26,ALUBIX SL,C-C/00014,5021.5,51612.55,Hecho,both
36,14,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-26,551295,19,2025/00022,3455.76,51612.55,2025-12-19,551295,6265-C-C/00013,both,33,6265-C-C/00013,13,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00014,2025-11-26,19,2025-11-26,ROCALLA SA,C-C/00013,3455.76,46591.05,Hecho,both
37,15,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-12-03,554294,24,2025/00022,5042.07,56654.62,2025-12-19,554294,6265-C-C/00015,both,35,6265-C-C/00015,15,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00016,2025-12-03,24,2025-12-03,ALUBIX SL,C-C/00015,5042.07,56654.62,Hecho,both
38,16,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-12-03,554301,23,2025/00024,3463.02,60117.64,2025-12-19,554301,6265-C-C/00016,both,36,6265-C-C/00016,16,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00017,2025-12-03,23,2025-12-03,ROCALLA SA,C-C/00016,3463.02,60117.64,Hecho,both
39,17,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-12-10,556846,25,2025/00023,3903.46,64021.1,2025-12-19,556846,6265-C-C/00017,both,37,6265-C-C/00017,17,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00018,2025-12-10,25,2025-12-10,ALUBIX SL,C-C/00017,3903.46,64021.1,Hecho,both
40,18,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-12-10,556853,26,2025/00028,3840.54,67861.64,2025-12-19,556853,6265-C-C/00018,both,38,6265-C-C/00018,18,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00019,2025-12-10,26,2025-12-10,ROCALLA SA,C-C/00018,3840.54,67861.64,Hecho,both
41,19,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX,2025-12-18,561013,29,2025/00028,3898.62,71760.26,2025-12-19,561013,6265-C-C/00019,both,39,6265-C-C/00019,19,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00020,2025-12-18,29,2025-12-18,ALUBIX SL,C-C/00019,3898.62,71760.26,Hecho,both
42,20,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA,2025-12-18,561014,28,2025/00033,3153.26,74913.52,2025-12-19,561014,6265-C-C/00020,both,40,6265-C-C/00020,20,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00021,2025-12-18,28,2025-12-18,ROCALLA SA,C-C/00020,3153.26,74913.52,Hecho,both
43,21,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX,2025-12-30,561711,34,2025/00029,134.31,75047.83,2025-12-19,,,left_only,,,,,,,,,,,,,,,left_only
44,22,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA,2025-12-30,561712,30,2025/00037,183.92,75231.75,2025-12-19,,,left_only,,,,,,,,,,,,,,,left_only
45,1,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-20,536437,4,2025/00001,1173.7,1173.7,2025-12-30,536437,6320-C-C/00002,both,42,6320-C-C/00002,2,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00002,2025-10-20,4,2025-10-20,ROCALLA SA,C-C/00002,1173.7,2366.76,Hecho,both
46,2,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-20,536438,3,2025/00003,1193.06,2366.76,2025-12-30,536438,6320-C-C/00001,both,41,6320-C-C/00001,1,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00001,2025-10-20,3,2025-10-20,ALUBIX SL,C-C/00001,1193.06,1193.06,Hecho,both
47,3,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-22,537484,8,2025/00005,3494.48,5861.24,2025-12-30,537484,6320-C-C/00003,both,43,6320-C-C/00003,3,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00003,2025-10-22,8,2025-10-22,ALUBIX SL,C-C/00003,3494.48,5861.24,Hecho,both
48,4,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-22,537486,8,2025/00003,3506.58,9367.82,2025-12-30,537486,6320-C-C/00004,both,44,6320-C-C/00004,4,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00005,2025-10-22,8,2025-10-22,ROCALLA SA,C-C/00004,3506.58,9367.82,Hecho,both
49,5,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-29,540056,9,2025/00009,4418.92,13786.74,2025-12-30,540056,6320-C-C/00005,both,45,6320-C-C/00005,5,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00006,2025-10-29,9,2025-10-29,ALUBIX SL,C-C/00005,4418.92,13786.74,Hecho,both
50,6,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-29,540057,12,2025/00004,4498.78,18285.52,2025-12-30,540057,6320-C-C/00006,both,46,6320-C-C/00006,6,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00007,2025-10-29,12,2025-10-29,ROCALLA SA,C-C/00006,4498.78,18285.52,Hecho,both
51,7,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-05,542290,14,2025/00013,3988.16,22273.68,2025-12-30,542290,6320-C-C/00007,both,47,6320-C-C/00007,7,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00008,2025-11-05,14,2025-11-05,ALUBIX SL,C-C/00007,3988.16,22273.68,Hecho,both
52,8,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-05,542293,16,2025/00007,3954.28,26227.96,2025-12-30,542293,6320-C-C/00008,both,48,6320-C-C/00008,8,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00009,2025-11-05,16,2025-11-05,ROCALLA SA,C-C/00008,3954.28,26227.96,Hecho,both
53,9,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-12,544975,19,2025/00016,3988.16,30216.12,2025-12-30,544975,6320-C-C/00010,both,50,6320-C-C/00010,10,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00011,2025-11-12,19,2025-11-12,ALUBIX SL,C-C/00010,3988.16,34025.2,Hecho,both
54,10,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-12,544981,19,2025/00009,3809.08,34025.2,2025-12-30,544981,6320-C-C/00009,both,49,6320-C-C/00009,9,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00010,2025-11-12,19,2025-11-12,ROCALLA SA,C-C/00009,3809.08,30037.04,Hecho,both
55,11,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-20,549047,21,2025/00017,4539.92,38565.12,2025-12-30,549047,6320-C-C/00011,both,51,6320-C-C/00011,11,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00013,2025-11-20,21,2025-11-20,ALUBIX SL,C-C/00011,4539.92,38565.12,Hecho,both
56,12,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-20,549048,20,2025/00012,4014.78,42579.9,2025-12-30,549048,6320-C-C/00012,both,52,6320-C-C/00012,12,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00014,2025-11-20,20,2025-11-20,ROCALLA SA,C-C/00012,4014.78,42579.9,Hecho,both
57,13,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-26,551254,24,2025/00021,4653.66,47233.56,2025-12-30,551254,6320-C-C/00013,both,53,6320-C-C/00013,13,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00015,2025-11-26,24,2025-11-26,ALUBIX SL,C-C/00013,4653.66,47233.56,Hecho,both
58,14,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-26,551267,22,2025/00015,4602.84,51836.4,2025-12-30,551267,6320-C-C/00014,both,54,6320-C-C/00014,14,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00016,2025-11-26,22,2025-11-26,ROCALLA SA,C-C/00014,4602.84,51836.4,Hecho,both
59,15,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-12-03,554277,28,2025/00023,4087.38,55923.78,2025-12-30,554277,6320-C-C/00015,both,55,6320-C-C/00015,15,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00017,2025-12-03,28,2025-12-03,ALUBIX SL,C-C/00015,4087.38,55923.78,Hecho,both
60,16,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-12-03,554290,25,2025/00016,4232.58,60156.36,2025-12-30,554290,6320-C-C/00016,both,56,6320-C-C/00016,16,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00018,2025-12-03,25,2025-12-03,ROCALLA SA,C-C/00016,4232.58,60156.36,Hecho,both
61,17,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-12-10,556839,32,2025/00024,4334.22,64490.58,2025-12-30,556839,6320-C-C/00017,both,57,6320-C-C/00017,17,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00019,2025-12-10,32,2025-12-10,ALUBIX SL,C-C/00017,4334.22,64490.58,Hecho,both
62,18,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-12-10,556843,26,2025/00017,4365.68,68856.26,2025-12-30,556843,6320-C-C/00018,both,58,6320-C-C/00018,18,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00020,2025-12-10,26,2025-12-10,ROCALLA SA,C-C/00018,4365.68,68856.26,Hecho,both
63,19,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX,2025-12-18,561001,34,2025/00027,4082.54,72938.8,2025-12-30,561001,6320-C-C/00019,both,59,6320-C-C/00019,19,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00021,2025-12-18,34,2025-12-18,ALUBIX SL,C-C/00019,4082.54,72938.8,Hecho,both
64,20,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA,2025-12-18,561002,27,2025/00020,3714.7,76653.5,2025-12-30,561002,6320-C-C/00020,both,60,6320-C-C/00020,20,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00022,2025-12-18,27,2025-12-18,ROCALLA SA,C-C/00020,3714.7,76653.5,Hecho,both
65,21,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX,2025-12-29,561707,35,2025/00029,157.3,76810.8,2025-12-30,561707,6320-C-C/00022,both,62,6320-C-C/00022,22,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00024,2025-12-30,35,2025-12-29,ALUBIX SL,C-C/00022,157.3,76977.78,Hecho,both
66,22,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA,2025-12-29,561708,30,2025/00021,166.98,76977.78,2025-12-30,561708,6320-C-C/00021,both,61,6320-C-C/00021,21,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00023,2025-12-30,30,2025-12-29,ROCALLA SA,C-C/00021,166.98,76820.48,Hecho,both
67,1,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535285,4,2025/00003,1266.87,1266.87,2025-12-30,535285,6352-C-C/00002,both,64,6352-C-C/00002,2,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00002,2025-10-17,4,2025-10-17,ALUBIX SL,C-C/00002,1266.87,2323.2,Hecho,both
68,2,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535312,3,2025/00001,1056.33,2323.2,2025-12-30,535312,6352-C-C/00001,both,63,6352-C-C/00001,1,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00001,2025-10-17,3,2025-10-17,ROCALLA SA,C-C/00001,1056.33,1056.33,Hecho,both
69,3,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537112,8,2025/00008,4020.23,6343.43,2025-12-30,537112,6352-C-C/00003,both,65,6352-C-C/00003,3,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00003,2025-10-23,8,2025-10-22,ALUBIX SL,C-C/00003,4020.23,6343.43,Hecho,both
70,4,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537115,5,2025/00005,3661.46,10004.89,2025-12-30,537115,6352-C-C/00004,both,66,6352-C-C/00004,4,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00004,2025-10-23,5,2025-10-22,ROCALLA SA,C-C/00004,3661.46,10004.89,Hecho,both
71,5,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540133,13,2025/00010,4325.15,14330.04,2025-12-30,540133,6352-C-C/00005,both,67,6352-C-C/00005,5,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00005,2025-10-29,13,2025-10-29,ALUBIX SL,C-C/00005,4325.15,14330.04,Hecho,both
72,6,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540134,6,2025/00007,3539.25,17869.29,2025-12-30,540134,6352-C-C/00006,both,68,6352-C-C/00006,6,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00007,2025-10-29,6,2025-10-29,ROCALLA SA,C-C/00006,3539.25,17869.29,Hecho,both
73,7,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-05,542386,15,2025/00012,4266.46,22135.75,2025-12-30,542386,6352-C-C/00007,both,69,6352-C-C/00007,7,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00008,2025-11-05,15,2025-11-05,ALUBIX SL,C-C/00007,4266.46,22135.75,Hecho,both
