R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_IDTOTS_CP,A_CLAU_UNICA_CP,A_ID_CP,A_EXPEDIENT_CP,A_EMPRESA_CP,A_REF_ODOO_CP,A_FECHA_ALTA_ODOO_CP,A_NUMERO_CP,A_FECHA_EMISION_CP,A_PROVEEDOR_CP,A_IMPORTE_CP,A_ACUMULADO_CP,A_ESTADO_CP,A_ESTADO_FACTURACION_CP,_merge
11,11,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-19,547874,22,2025/00017,3518.68,38415.08,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,12,5796-C-C/00012,12,5796,ADG32 5796 NSACARES SL,C-C/00012,2025-11-19,547874,2025-11-19,ALUBIX SL,3518.68,41989.42,Pedido de compra,Totalmente facturado,both
12,12,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-19,547875,22,2025/00018,3574.34,41989.42,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,11,5796-C-C/00011,11,5796,ADG32 5796 NSACARES SL,C-C/00011,2025-11-19,547875,2025-11-19,ROCALLA SA,3574.34,38470.74,Pedido de compra,Totalmente facturado,both
13,13,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-26,551183,23,2025/00021,3695.34,45684.76,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,14,5796-C-C/00014,14,5796,ADG32 5796 NSACARES SL,C-C/00014,2025-11-26,551183,2025-11-26,ALUBIX SL,3695.34,49631.78,Pedido de compra,Totalmente facturado,both
14,14,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-26,551187,27,2025/00022,3947.02,49631.78,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,13,5796-C-C/00013,13,5796,ADG32 5796 NSACARES SL,C-C/00013,2025-11-26,551187,2025-11-26,ROCALLA SA,3947.02,45936.44,Pedido de compra,Totalmente facturado,both
15,15,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-03,554187,27,2025/00024,3605.8,53237.58,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,16,5796-C-C/00016,16,5796,ADG32 5796 NSACARES SL,C-C/00016,2025-12-04,554187,2025-12-03,ALUBIX SL,3605.8,57395.14,Pedido de compra,Totalmente facturado,both
16,16,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-03,554188,31,2025/00027,4157.56,57395.14,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,15,5796-C-C/00015,15,5796,ADG32 5796 NSACARES SL,C-C/00015,2025-12-04,554188,2025-12-03,ROCALLA SA,4157.56,53789.34,Pedido de compra,Totalmente facturado,both
17,17,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-10,556692,30,2025/00028,3780.04,61175.18,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,18,5796-C-C/00019,18,5796,ADG32 5796 NSACARES SL,C-C/00019,2025-12-11,556692,2025-12-10,ALUBIX SL,3780.04,65589.26,Pedido de compra,Totalmente facturado,both
18,18,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-10,556693,32,2025/00032,4414.08,65589.26,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,17,5796-C-C/00018,17,5796,ADG32 5796 NSACARES SL,C-C/00018,2025-12-11,556693,2025-12-10,ROCALLA SA,4414.08,61809.22,Pedido de compra,Totalmente facturado,both
19,19,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-17,560877,33,2025/00032,3927.66,69516.92,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,19,5796-C-C/00020,19,5796,ADG32 5796 NSACARES SL,C-C/00020,2025-12-18,560877,2025-12-17,ALUBIX SL,3927.66,69516.92,Pedido de compra,Totalmente facturado,both
20,20,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-17,560878,35,2025/00037,4307.6,73824.52,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,20,5796-C-C/00021,20,5796,ADG32 5796 NSACARES SL,C-C/00021,2025-12-18,560878,2025-12-17,ROCALLA SA,4307.6,73824.52,Pedido de compra,Totalmente facturado,both
21,1,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-17,535282,5,2025/00003,1274.13,1274.13,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,21,6265-C-C/00001,1,6265,ADG32 6265 SMORENO SL,C-C/00001,2025-10-17,535282,2025-10-17,ALUBIX SL,1274.13,1274.13,Pedido de compra,Totalmente facturado,both
22,2,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-17,535304,2,2025/00004,1231.78,2505.91,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,22,6265-C-C/00002,2,6265,ADG32 6265 SMORENO SL,C-C/00002,2025-10-17,535304,2025-10-17,ROCALLA SA,1231.78,2505.91,Pedido de compra,Totalmente facturado,both
23,3,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-22,537485,6,2025/00008,3816.34,6322.25,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,23,6265-C-C/00003,3,6265,ADG32 6265 SMORENO SL,C-C/00003,2025-10-22,537485,2025-10-22,ALUBIX SL,3816.34,6322.25,Pedido de compra,Totalmente facturado,both
24,4,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-22,537489,7,2025/00005,4205.96,10528.21,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,24,6265-C-C/00004,4,6265,ADG32 6265 SMORENO SL,C-C/00004,2025-10-22,537489,2025-10-22,ROCALLA SA,4205.96,10528.21,Pedido de compra,Totalmente facturado,both
25,5,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-29,540079,11,2025/00009,3764.31,14292.52,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,25,6265-C-C/00005,5,6265,ADG32 6265 SMORENO SL,C-C/00005,2025-10-29,540079,2025-10-29,ALUBIX SL,3764.31,14292.52,Pedido de compra,Totalmente facturado,both
26,6,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-29,540091,9,2025/00009,3963.96,18256.48,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,26,6265-C-C/00006,6,6265,ADG32 6265 SMORENO SL,C-C/00006,2025-10-29,540091,2025-10-29,ROCALLA SA,3963.96,18256.48,Pedido de compra,Totalmente facturado,both
27,7,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-05,542308,13,2025/00014,4164.82,22421.3,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,27,6265-C-C/00007,7,6265,ADG32 6265 SMORENO SL,C-C/00007,2025-11-05,542308,2025-11-05,ALUBIX SL,4164.82,22421.3,Pedido de compra,Totalmente facturado,both
28,8,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-05,542324,10,2025/00010,4641.56,27062.86,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,28,6265-C-C/00008,8,6265,ADG32 6265 SMORENO SL,C-C/00008,2025-11-05,542324,2025-11-05,ROCALLA SA,4641.56,27062.86,Pedido de compra,Totalmente facturado,both
29,9,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-12,544980,14,2025/00015,3760.68,30823.54,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,29,6265-C-C/00009,9,6265,ADG32 6265 SMORENO SL,C-C/00009,2025-11-12,544980,2025-11-12,ALUBIX SL,3760.68,30823.54,Pedido de compra,Totalmente facturado,both
30,10,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-12,544983,13,2025/00013,3886.52,34710.06,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,30,6265-C-C/00010,10,6265,ADG32 6265 SMORENO SL,C-C/00010,2025-11-12,544983,2025-11-12,ROCALLA SA,3886.52,34710.06,Pedido de compra,Totalmente facturado,both
31,11,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-19,547940,15,2025/00018,4780.71,39490.77,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,31,6265-C-C/00011,11,6265,ADG32 6265 SMORENO SL,C-C/00011,2025-11-19,547940,2025-11-19,ALUBIX SL,4780.71,39490.77,Pedido de compra,Totalmente facturado,both
32,12,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-19,547942,17,2025/00017,3644.52,43135.29,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,32,6265-C-C/00012,12,6265,ADG32 6265 SMORENO SL,C-C/00012,2025-11-19,547942,2025-11-19,ROCALLA SA,3644.52,43135.29,Pedido de compra,Totalmente facturado,both
33,13,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-26,551286,20,2025/00020,5021.5,48156.79,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,34,6265-C-C/00014,14,6265,ADG32 6265 SMORENO SL,C-C/00014,2025-11-26,551286,2025-11-26,ALUBIX SL,5021.5,51612.55,Pedido de compra,Totalmente facturado,both
34,14,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-26,551295,19,2025/00022,3455.76,51612.55,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,33,6265-C-C/00013,13,6265,ADG32 6265 SMORENO SL,C-C/00013,2025-11-26,551295,2025-11-26,ROCALLA SA,3455.76,46591.05,Pedido de compra,Totalmente facturado,both
35,15,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-03,554294,24,2025/00022,5042.07,56654.62,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,35,6265-C-C/00015,15,6265,ADG32 6265 SMORENO SL,C-C/00015,2025-12-03,554294,2025-12-03,ALUBIX SL,5042.07,56654.62,Pedido de compra,Totalmente facturado,both
36,16,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-03,554301,23,2025/00024,3463.02,60117.64,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,36,6265-C-C/00016,16,6265,ADG32 6265 SMORENO SL,C-C/00016,2025-12-03,554301,2025-12-03,ROCALLA SA,3463.02,60117.64,Pedido de compra,Totalmente facturado,both
37,17,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-10,556846,25,2025/00023,3903.46,64021.1,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,37,6265-C-C/00017,17,6265,ADG32 6265 SMORENO SL,C-C/00017,2025-12-10,556846,2025-12-10,ALUBIX SL,3903.46,64021.1,Pedido de compra,Totalmente facturado,both
38,18,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-10,556853,26,2025/00028,3840.54,67861.64,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,38,6265-C-C/00018,18,6265,ADG32 6265 SMORENO SL,C-C/00018,2025-12-10,556853,2025-12-10,ROCALLA SA,3840.54,67861.64,Pedido de compra,Totalmente facturado,both
39,19,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-18,561013,29,2025/00028,3898.62,71760.26,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,39,6265-C-C/00019,19,6265,ADG32 6265 SMORENO SL,C-C/00019,2025-12-18,561013,2025-12-18,ALUBIX SL,3898.62,71760.26,Pedido de compra,Facturas en espera,both
40,20,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-18,561014,28,2025/00033,3153.26,74913.52,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,40,6265-C-C/00020,20,6265,ADG32 6265 SMORENO SL,C-C/00020,2025-12-18,561014,2025-12-18,ROCALLA SA,3153.26,74913.52,Pedido de compra,Facturas en espera,both
41,1,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-20,536437,4,2025/00001,1173.7,1173.7,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,42,6320-C-C/00002,2,6320,ADG32 6320 MNAVARRO SL,C-C/00002,2025-10-20,536437,2025-10-20,ROCALLA SA,1173.7,2366.76,Pedido de compra,Totalmente facturado,both
42,2,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-20,536438,3,2025/00003,1193.06,2366.76,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,41,6320-C-C/00001,1,6320,ADG32 6320 MNAVARRO SL,C-C/00001,2025-10-20,536438,2025-10-20,ALUBIX SL,1193.06,1193.06,Pedido de compra,Totalmente facturado,both
43,3,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-22,537484,8,2025/00005,3494.48,5861.24,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,43,6320-C-C/00003,3,6320,ADG32 6320 MNAVARRO SL,C-C/00003,2025-10-22,537484,2025-10-22,ALUBIX SL,3494.48,5861.24,Pedido de compra,Totalmente facturado,both
44,4,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-22,537486,8,2025/00003,3506.58,9367.82,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,44,6320-C-C/00004,4,6320,ADG32 6320 MNAVARRO SL,C-C/00004,2025-10-22,537486,2025-10-22,ROCALLA SA,3506.58,9367.82,Pedido de compra,Totalmente facturado,both
45,5,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-29,540056,9,2025/00009,4418.92,13786.74,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,45,6320-C-C/00005,5,6320,ADG32 6320 MNAVARRO SL,C-C/00005,2025-10-29,540056,2025-10-29,ALUBIX SL,4418.92,13786.74,Pedido de compra,Totalmente facturado,both
46,6,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-29,540057,12,2025/00004,4498.78,18285.52,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,46,6320-C-C/00006,6,6320,ADG32 6320 MNAVARRO SL,C-C/00006,2025-10-29,540057,2025-10-29,ROCALLA SA,4498.78,18285.52,Pedido de compra,Totalmente facturado,both
47,7,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-05,542290,14,2025/00013,3988.16,22273.68,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,47,6320-C-C/00007,7,6320,ADG32 6320 MNAVARRO SL,C-C/00007,2025-11-05,542290,2025-11-05,ALUBIX SL,3988.16,22273.68,Pedido de compra,Totalmente facturado,both
48,8,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-05,542293,16,2025/00007,3954.28,26227.96,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,48,6320-C-C/00008,8,6320,ADG32 6320 MNAVARRO SL,C-C/00008,2025-11-05,542293,2025-11-05,ROCALLA SA,3954.28,26227.96,Pedido de compra,Totalmente facturado,both
49,9,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-12,544975,19,2025/00016,3988.16,30216.12,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,50,6320-C-C/00010,10,6320,ADG32 6320 MNAVARRO SL,C-C/00010,2025-11-12,544975,2025-11-12,ALUBIX SL,3988.16,34025.2,Pedido de compra,Totalmente facturado,both
50,10,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-12,544981,19,2025/00009,3809.08,34025.2,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,49,6320-C-C/00009,9,6320,ADG32 6320 MNAVARRO SL,C-C/00009,2025-11-12,544981,2025-11-12,ROCALLA SA,3809.08,30037.04,Pedido de compra,Totalmente facturado,both
51,11,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-20,549047,21,2025/00017,4539.92,38565.12,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,51,6320-C-C/00011,11,6320,ADG32 6320 MNAVARRO SL,C-C/00011,2025-11-20,549047,2025-11-20,ALUBIX SL,4539.92,38565.12,Pedido de compra,Totalmente facturado,both
52,12,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-20,549048,20,2025/00012,4014.78,42579.9,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,52,6320-C-C/00012,12,6320,ADG32 6320 MNAVARRO SL,C-C/00012,2025-11-20,549048,2025-11-20,ROCALLA SA,4014.78,42579.9,Pedido de compra,Totalmente facturado,both
53,13,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-26,551254,24,2025/00021,4653.66,47233.56,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,53,6320-C-C/00013,13,6320,ADG32 6320 MNAVARRO SL,C-C/00013,2025-11-26,551254,2025-11-26,ALUBIX SL,4653.66,47233.56,Pedido de compra,Totalmente facturado,both
54,14,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-26,551267,22,2025/00015,4602.84,51836.4,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,54,6320-C-C/00014,14,6320,ADG32 6320 MNAVARRO SL,C-C/00014,2025-11-26,551267,2025-11-26,ROCALLA SA,4602.84,51836.4,Pedido de compra,Totalmente facturado,both
55,15,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-03,554277,28,2025/00023,4087.38,55923.78,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,55,6320-C-C/00015,15,6320,ADG32 6320 MNAVARRO SL,C-C/00015,2025-12-03,554277,2025-12-03,ALUBIX SL,4087.38,55923.78,Pedido de compra,Totalmente facturado,both
56,16,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-03,554290,25,2025/00016,4232.58,60156.36,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,56,6320-C-C/00016,16,6320,ADG32 6320 MNAVARRO SL,C-C/00016,2025-12-03,554290,2025-12-03,ROCALLA SA,4232.58,60156.36,Pedido de compra,Totalmente facturado,both
57,17,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-10,556839,32,2025/00024,4334.22,64490.58,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,57,6320-C-C/00017,17,6320,ADG32 6320 MNAVARRO SL,C-C/00017,2025-12-10,556839,2025-12-10,ALUBIX SL,4334.22,64490.58,Pedido de compra,Totalmente facturado,both
58,18,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-10,556843,26,2025/00017,4365.68,68856.26,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,58,6320-C-C/00018,18,6320,ADG32 6320 MNAVARRO SL,C-C/00018,2025-12-10,556843,2025-12-10,ROCALLA SA,4365.68,68856.26,Pedido de compra,Totalmente facturado,both
59,19,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-18,561001,34,2025/00027,4082.54,72938.8,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,59,6320-C-C/00019,19,6320,ADG32 6320 MNAVARRO SL,C-C/00019,2025-12-18,561001,2025-12-18,ALUBIX SL,4082.54,72938.8,Pedido de compra,Totalmente facturado,both
60,20,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-18,561002,27,2025/00020,3714.7,76653.5,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,60,6320-C-C/00020,20,6320,ADG32 6320 MNAVARRO SL,C-C/00020,2025-12-18,561002,2025-12-18,ROCALLA SA,3714.7,76653.5,Pedido de compra,Totalmente facturado,both
61,21,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-29,561707,35,2025/00029,157.3,76810.8,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,62,6320-C-C/00022,22,6320,ADG32 6320 MNAVARRO SL,C-C/00022,2025-12-30,561707,2025-12-29,ALUBIX SL,157.3,76977.78,Pedido de compra,Facturas en espera,both
62,22,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-29,561708,30,2025/00021,166.98,76977.78,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,61,6320-C-C/00021,21,6320,ADG32 6320 MNAVARRO SL,C-C/00021,2025-12-30,561708,2025-12-29,ROCALLA SA,166.98,76820.48,Pedido de compra,Facturas en espera,both
63,1,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535285,4,2025/00003,1266.87,1266.87,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,64,6352-C-C/00002,2,6352,ADG32 6352 SAANANOU SL,C-C/00002,2025-10-17,535285,2025-10-17,ALUBIX SL,1266.87,2323.2,Pedido de compra,Totalmente facturado,both
64,2,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535312,3,2025/00001,1056.33,2323.2,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,63,6352-C-C/00001,1,6352,ADG32 6352 SAANANOU SL,C-C/00001,2025-10-17,535312,2025-10-17,ROCALLA SA,1056.33,1056.33,Pedido de compra,Totalmente facturado,both
65,3,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537112,8,2025/00008,4020.23,6343.43,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,65,6352-C-C/00003,3,6352,ADG32 6352 SAANANOU SL,C-C/00003,2025-10-23,537112,2025-10-22,ALUBIX SL,4020.23,6343.43,Pedido de compra,Totalmente facturado,both
