R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CF,A_CLAU_UNICA_CF,A_ID_CF,A_EXPEDIENT_CF,A_EMPRESA_CF,A_REF_ODOO_CF,A_PROVEEDOR_CF,A_NUMERO_CF,A_FECHA_EMISION_CF,A_ORIGEN_CF,A_IMPORTE_CF,A_ACUMULADO_CF,A_ESTADO_PAGO_CF,_merge
11,11,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-19,547874,22,2025/00017,3518.68,38415.08,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,547874,5796-C-C/00012,both,12,5796-C-C/00012,12,5796,ADG32 5796 NSACARES SL,FC/2025/0028,ALUBIX SL,2025/00017,2025-11-19,C-C/00012,3518.68,41989.42,Pagada,both
12,12,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-19,547875,22,2025/00018,3574.34,41989.42,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,547875,5796-C-C/00011,both,11,5796-C-C/00011,11,5796,ADG32 5796 NSACARES SL,FC/2025/0027,ROCALLA SA,2025/00018,2025-11-19,C-C/00011,3574.34,38470.74,Pagada,both
13,13,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-26,551183,23,2025/00021,3695.34,45684.76,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,551183,5796-C-C/00014,both,14,5796-C-C/00014,14,5796,ADG32 5796 NSACARES SL,FC/2025/0032,ALUBIX SL,2025/00021,2025-11-26,C-C/00014,3695.34,49631.78,Publicado,both
14,14,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-26,551187,27,2025/00022,3947.02,49631.78,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,551187,5796-C-C/00013,both,13,5796-C-C/00013,13,5796,ADG32 5796 NSACARES SL,FC/2025/0033,ROCALLA SA,2025/00022,2025-11-26,C-C/00013,3947.02,45936.44,Publicado,both
15,15,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-03,554187,27,2025/00024,3605.8,53237.58,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,554187,5796-C-C/00016,both,16,5796-C-C/00016,16,5796,ADG32 5796 NSACARES SL,FC/2025/0035,ALUBIX SL,2025/00024,2025-12-03,C-C/00016,3605.8,57395.14,Publicado,both
16,16,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-03,554188,31,2025/00027,4157.56,57395.14,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,554188,5796-C-C/00015,both,15,5796-C-C/00015,15,5796,ADG32 5796 NSACARES SL,FC/2025/0034,ROCALLA SA,2025/00027,2025-12-03,C-C/00015,4157.56,53789.34,Publicado,both
17,17,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-10,556692,30,2025/00028,3780.04,61175.18,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,556692,5796-C-C/00019,both,19,5796-C-C/00019,19,5796,ADG32 5796 NSACARES SL,FC/2025/0044,ALUBIX SL,2025/00028,2025-12-10,C-C/00019,3780.04,69369.3,Publicado,both
18,18,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-10,556693,32,2025/00032,4414.08,65589.26,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,556693,5796-C-C/00018,both,18,5796-C-C/00018,18,5796,ADG32 5796 NSACARES SL,FC/2025/0043,ROCALLA SA,2025/00032,2025-12-10,C-C/00018,4414.08,65589.26,Publicado,both
19,19,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-17,560877,33,2025/00032,3927.66,69516.92,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,560877,5796-C-C/00020,both,20,5796-C-C/00020,20,5796,ADG32 5796 NSACARES SL,FC/2025/0045,ALUBIX SL,2025/00032,2025-12-17,C-C/00020,3927.66,73296.96,Publicado,both
20,20,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-17,560878,35,2025/00037,4307.6,73824.52,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,560878,5796-C-C/00021,both,21,5796-C-C/00021,21,5796,ADG32 5796 NSACARES SL,FC/2025/0046,ROCALLA SA,2025/00037,2025-12-17,C-C/00021,4307.6,77604.56,Publicado,both
21,1,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-17,535282,5,2025/00003,1274.13,1274.13,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,535282,6265-C-C/00001,both,22,6265-C-C/00001,1,6265,ADG32 6265 SMORENO SL,FC/2025/0002,ALUBIX SL,2025/00003,2025-10-17,C-C/00001,1274.13,1274.13,Pagada,both
22,2,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-17,535304,2,2025/00004,1231.78,2505.91,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,535304,6265-C-C/00002,both,23,6265-C-C/00002,2,6265,ADG32 6265 SMORENO SL,FC/2025/0001,ROCALLA SA,2025/00004,2025-10-17,C-C/00002,1231.78,2505.91,Pagada,both
23,3,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-22,537485,6,2025/00008,3816.34,6322.25,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,537485,6265-C-C/00003,both,24,6265-C-C/00003,3,6265,ADG32 6265 SMORENO SL,FC/2025/0003,ALUBIX SL,2025/00008,2025-10-22,C-C/00003,3816.34,6322.25,Pagada,both
24,4,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-22,537489,7,2025/00005,4205.96,10528.21,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,537489,6265-C-C/00004,both,25,6265-C-C/00004,4,6265,ADG32 6265 SMORENO SL,FC/2025/0004,ROCALLA SA,2025/00005,2025-10-22,C-C/00004,4205.96,10528.21,Pagada,both
25,5,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-29,540079,11,2025/00009,3764.31,14292.52,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,540079,6265-C-C/00005,both,26,6265-C-C/00005,5,6265,ADG32 6265 SMORENO SL,FC/2025/0006,ALUBIX SL,2025/00009,2025-10-29,C-C/00005,3764.31,14292.52,Pagada,both
26,6,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-29,540091,9,2025/00009,3963.96,18256.48,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,540091,6265-C-C/00006,both,27,6265-C-C/00006,6,6265,ADG32 6265 SMORENO SL,FC/2025/0005,ROCALLA SA,2025/00009,2025-10-29,C-C/00006,3963.96,18256.48,Pagada,both
27,7,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-05,542308,13,2025/00014,4164.82,22421.3,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,542308,6265-C-C/00007,both,28,6265-C-C/00007,7,6265,ADG32 6265 SMORENO SL,FC/2025/0007,ALUBIX SL,2025/00014,2025-11-05,C-C/00007,4164.82,22421.3,Pagada,both
28,8,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-05,542324,10,2025/00010,4641.56,27062.86,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,542324,6265-C-C/00008,both,29,6265-C-C/00008,8,6265,ADG32 6265 SMORENO SL,FC/2025/0008,ROCALLA SA,2025/00010,2025-11-05,C-C/00008,4641.56,27062.86,Pagada,both
29,9,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-12,544980,14,2025/00015,3760.68,30823.54,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,544980,6265-C-C/00009,both,30,6265-C-C/00009,9,6265,ADG32 6265 SMORENO SL,FC/2025/0009,ALUBIX SL,2025/00015,2025-11-12,C-C/00009,3760.68,30823.54,Pagada,both
30,10,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-12,544983,13,2025/00013,3886.52,34710.06,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,544983,6265-C-C/00010,both,31,6265-C-C/00010,10,6265,ADG32 6265 SMORENO SL,FC/2025/0010,ROCALLA SA,2025/00013,2025-11-12,C-C/00010,3886.52,34710.06,Pagada,both
31,11,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-19,547940,15,2025/00018,4780.71,39490.77,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,547940,6265-C-C/00011,both,32,6265-C-C/00011,11,6265,ADG32 6265 SMORENO SL,FC/2025/0027,ALUBIX SL,2025/00018,2025-11-19,C-C/00011,4780.71,39490.77,Pagada,both
32,12,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-19,547942,17,2025/00017,3644.52,43135.29,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,547942,6265-C-C/00012,both,33,6265-C-C/00012,12,6265,ADG32 6265 SMORENO SL,FC/2025/0028,ROCALLA SA,2025/00017,2025-11-19,C-C/00012,3644.52,43135.29,Pagada,both
33,13,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-11-26,551286,20,2025/00020,5021.5,48156.79,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,551286,6265-C-C/00014,both,35,6265-C-C/00014,14,6265,ADG32 6265 SMORENO SL,FC/2025/0033,ALUBIX SL,2025/00020,2025-11-26,C-C/00014,5021.5,51612.55,Publicado,both
34,14,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-11-26,551295,19,2025/00022,3455.76,51612.55,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,551295,6265-C-C/00013,both,34,6265-C-C/00013,13,6265,ADG32 6265 SMORENO SL,FC/2025/0032,ROCALLA SA,2025/00022,2025-11-26,C-C/00013,3455.76,46591.05,Publicado,both
35,15,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-03,554294,24,2025/00022,5042.07,56654.62,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,554294,6265-C-C/00015,both,36,6265-C-C/00015,15,6265,ADG32 6265 SMORENO SL,FC/2025/0035,ALUBIX SL,2025/00022,2025-12-03,C-C/00015,5042.07,56654.62,Publicado,both
36,16,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-03,554301,23,2025/00024,3463.02,60117.64,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,554301,6265-C-C/00016,both,37,6265-C-C/00016,16,6265,ADG32 6265 SMORENO SL,FC/2025/0036,ROCALLA SA,2025/00024,2025-12-03,C-C/00016,3463.02,60117.64,Publicado,both
37,17,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-10,556846,25,2025/00023,3903.46,64021.1,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,556846,6265-C-C/00017,both,38,6265-C-C/00017,17,6265,ADG32 6265 SMORENO SL,FC/2025/0040,ALUBIX SL,2025/00023,2025-12-10,C-C/00017,3903.46,64021.1,Publicado,both
38,18,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-10,556853,26,2025/00028,3840.54,67861.64,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,556853,6265-C-C/00018,both,39,6265-C-C/00018,18,6265,ADG32 6265 SMORENO SL,FC/2025/0041,ROCALLA SA,2025/00028,2025-12-10,C-C/00018,3840.54,67861.64,Publicado,both
39,19,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-18,561013,29,2025/00028,3898.62,71760.26,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,561013,6265-C-C/00019,both,40,6265-C-C/00019,19,6265,ADG32 6265 SMORENO SL,FC/2025/0043,ALUBIX SL,2025/00028,2025-12-18,C-C/00019,3898.62,71760.26,Publicado,both
40,20,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-18,561014,28,2025/00033,3153.26,74913.52,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA,561014,6265-C-C/00020,both,41,6265-C-C/00020,20,6265,ADG32 6265 SMORENO SL,FC/2025/0042,ROCALLA SA,2025/00033,2025-12-18,C-C/00020,3153.26,74913.52,Publicado,both
41,1,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-20,536437,4,2025/00001,1173.7,1173.7,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,536437,6320-C-C/00002,both,43,6320-C-C/00002,2,6320,ADG32 6320 MNAVARRO SL,FC/2025/0001,ROCALLA SA,2025/00001,2025-10-20,C-C/00002,1173.7,2366.76,Pagada,both
42,2,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-20,536438,3,2025/00003,1193.06,2366.76,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,536438,6320-C-C/00001,both,42,6320-C-C/00001,1,6320,ADG32 6320 MNAVARRO SL,FC/2025/0002,ALUBIX SL,2025/00003,2025-10-20,C-C/00001,1193.06,1193.06,Pagada,both
43,3,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-22,537484,8,2025/00005,3494.48,5861.24,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,537484,6320-C-C/00003,both,44,6320-C-C/00003,3,6320,ADG32 6320 MNAVARRO SL,FC/2025/0003,ALUBIX SL,2025/00005,2025-10-22,C-C/00003,3494.48,5861.24,Pagada,both
44,4,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-22,537486,8,2025/00003,3506.58,9367.82,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,537486,6320-C-C/00004,both,45,6320-C-C/00004,4,6320,ADG32 6320 MNAVARRO SL,FC/2025/0004,ROCALLA SA,2025/00003,2025-10-22,C-C/00004,3506.58,9367.82,Pagada,both
45,5,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-29,540056,9,2025/00009,4418.92,13786.74,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,540056,6320-C-C/00005,both,46,6320-C-C/00005,5,6320,ADG32 6320 MNAVARRO SL,FC/2025/0005,ALUBIX SL,2025/00009,2025-10-29,C-C/00005,4418.92,13786.74,Pagada,both
46,6,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-29,540057,12,2025/00004,4498.78,18285.52,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,540057,6320-C-C/00006,both,47,6320-C-C/00006,6,6320,ADG32 6320 MNAVARRO SL,FC/2025/0006,ROCALLA SA,2025/00004,2025-10-29,C-C/00006,4498.78,18285.52,Pagada,both
47,7,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-05,542290,14,2025/00013,3988.16,22273.68,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,542290,6320-C-C/00007,both,48,6320-C-C/00007,7,6320,ADG32 6320 MNAVARRO SL,FC/2025/0007,ALUBIX SL,2025/00013,2025-11-05,C-C/00007,3988.16,22273.68,Pagada,both
48,8,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-05,542293,16,2025/00007,3954.28,26227.96,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,542293,6320-C-C/00008,both,49,6320-C-C/00008,8,6320,ADG32 6320 MNAVARRO SL,FC/2025/0008,ROCALLA SA,2025/00007,2025-11-05,C-C/00008,3954.28,26227.96,Pagada,both
49,9,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-12,544975,19,2025/00016,3988.16,30216.12,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,544975,6320-C-C/00010,both,51,6320-C-C/00010,10,6320,ADG32 6320 MNAVARRO SL,FC/2025/0010,ALUBIX SL,2025/00016,2025-11-12,C-C/00010,3988.16,34025.2,Pagada,both
50,10,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-12,544981,19,2025/00009,3809.08,34025.2,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,544981,6320-C-C/00009,both,50,6320-C-C/00009,9,6320,ADG32 6320 MNAVARRO SL,FC/2025/0009,ROCALLA SA,2025/00009,2025-11-12,C-C/00009,3809.08,30037.04,Pagada,both
51,11,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-20,549047,21,2025/00017,4539.92,38565.12,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,549047,6320-C-C/00011,both,52,6320-C-C/00011,11,6320,ADG32 6320 MNAVARRO SL,FC/2025/0027,ALUBIX SL,2025/00017,2025-11-20,C-C/00011,4539.92,38565.12,Pagada,both
52,12,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-20,549048,20,2025/00012,4014.78,42579.9,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,549048,6320-C-C/00012,both,53,6320-C-C/00012,12,6320,ADG32 6320 MNAVARRO SL,FC/2025/0028,ROCALLA SA,2025/00012,2025-11-20,C-C/00012,4014.78,42579.9,Pagada,both
53,13,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-11-26,551254,24,2025/00021,4653.66,47233.56,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,551254,6320-C-C/00013,both,54,6320-C-C/00013,13,6320,ADG32 6320 MNAVARRO SL,FC/2025/0032,ALUBIX SL,2025/00021,2025-11-26,C-C/00013,4653.66,47233.56,Publicado,both
54,14,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-11-26,551267,22,2025/00015,4602.84,51836.4,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,551267,6320-C-C/00014,both,55,6320-C-C/00014,14,6320,ADG32 6320 MNAVARRO SL,FC/2025/0033,ROCALLA SA,2025/00015,2025-11-26,C-C/00014,4602.84,51836.4,Publicado,both
55,15,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-03,554277,28,2025/00023,4087.38,55923.78,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,554277,6320-C-C/00015,both,56,6320-C-C/00015,15,6320,ADG32 6320 MNAVARRO SL,FC/2025/0038,ALUBIX SL,2025/00023,2025-12-03,C-C/00015,4087.38,55923.78,Publicado,both
56,16,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-03,554290,25,2025/00016,4232.58,60156.36,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,554290,6320-C-C/00016,both,57,6320-C-C/00016,16,6320,ADG32 6320 MNAVARRO SL,FC/2025/0039,ROCALLA SA,2025/00016,2025-12-03,C-C/00016,4232.58,60156.36,Publicado,both
57,17,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-10,556839,32,2025/00024,4334.22,64490.58,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,556839,6320-C-C/00017,both,58,6320-C-C/00017,17,6320,ADG32 6320 MNAVARRO SL,FC/2025/0040,ALUBIX SL,2025/00024,2025-12-10,C-C/00017,4334.22,64490.58,Publicado,both
58,18,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-10,556843,26,2025/00017,4365.68,68856.26,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,556843,6320-C-C/00018,both,59,6320-C-C/00018,18,6320,ADG32 6320 MNAVARRO SL,FC/2025/0041,ROCALLA SA,2025/00017,2025-12-10,C-C/00018,4365.68,68856.26,Publicado,both
59,19,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-18,561001,34,2025/00027,4082.54,72938.8,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,561001,6320-C-C/00019,both,60,6320-C-C/00019,19,6320,ADG32 6320 MNAVARRO SL,FC/2025/0042,ALUBIX SL,2025/00027,2025-12-18,C-C/00019,4082.54,72938.8,Publicado,both
60,20,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-18,561002,27,2025/00020,3714.7,76653.5,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,561002,6320-C-C/00020,both,61,6320-C-C/00020,20,6320,ADG32 6320 MNAVARRO SL,FC/2025/0043,ROCALLA SA,2025/00020,2025-12-18,C-C/00020,3714.7,76653.5,Publicado,both
61,21,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-29,561707,35,2025/00029,157.3,76810.8,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,561707,6320-C-C/00022,both,,,,,,,,,,,,,,left_only
62,22,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-29,561708,30,2025/00021,166.98,76977.78,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA,561708,6320-C-C/00021,both,,,,,,,,,,,,,,left_only
63,1,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535285,4,2025/00003,1266.87,1266.87,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,535285,6352-C-C/00002,both,63,6352-C-C/00002,2,6352,ADG32 6352 SAANANOU SL,FC/2025/0002,ALUBIX SL,2025/00003,2025-10-17,C-C/00002,1266.87,2323.2,Pagada,both
