ID-TOTS,CLAU_UNICA,ID,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA
26,6265-C-C/00008,8,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00009,2025-11-05,10,05/11/2025,ROCALLA SA,C-C/00008,4641.56,27062.85,Hecho
27,6265-C-C/00009,9,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00010,2025-11-12,14,12/11/2025,ALUBIX SL,C-C/00009,3760.68,30823.53,Hecho
28,6265-C-C/00010,10,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00011,2025-11-12,13,12/11/2025,ROCALLA SA,C-C/00010,3886.52,34710.05,Hecho
29,6265-C-C/00011,11,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00012,2025-11-19,15,19/11/2025,ALUBIX SL,C-C/00011,4780.71,39490.76,Hecho
30,6265-C-C/00012,12,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00013,2025-11-19,17,19/11/2025,ROCALLA SA,C-C/00012,3644.52,43135.28,Hecho
31,6265-C-C/00013,13,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00014,2025-11-26,19,26/11/2025,ROCALLA SA,C-C/00013,3455.76,46591.04,Hecho
32,6265-C-C/00014,14,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00015,2025-11-26,20,26/11/2025,ALUBIX SL,C-C/00014,5021.50,51612.54,Hecho
33,6265-C-C/00015,15,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00016,2025-12-03,24,03/12/2025,ALUBIX SL,C-C/00015,5042.07,56654.61,Hecho
34,6265-C-C/00016,16,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00017,2025-12-03,23,03/12/2025,ROCALLA SA,C-C/00016,3463.02,60117.63,Hecho
35,6265-C-C/00017,17,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00018,2025-12-10,25,10/12/2025,ALUBIX SL,C-C/00017,3903.46,64021.09,Hecho
36,6265-C-C/00018,18,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00019,2025-12-10,26,10/12/2025,ROCALLA SA,C-C/00018,3840.54,67861.63,Hecho
37,6320-C-C/00001,1,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00001,2025-10-20,3,20/10/2025,ALUBIX SL,C-C/00001,1193.06,1193.06,Hecho
38,6320-C-C/00002,2,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00002,2025-10-20,4,20/10/2025,ROCALLA SA,C-C/00002,1173.70,2366.76,Hecho
39,6320-C-C/00003,3,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00003,2025-10-22,8,22/10/2025,ALUBIX SL,C-C/00003,3494.48,5861.24,Hecho
40,6320-C-C/00004,4,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00005,2025-10-22,8,22/10/2025,ROCALLA SA,C-C/00004,3506.58,9367.82,Hecho
41,6320-C-C/00005,5,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00006,2025-10-29,9,29/10/2025,ALUBIX SL,C-C/00005,4418.92,13786.74,Hecho
42,6320-C-C/00006,6,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00007,2025-10-29,12,29/10/2025,ROCALLA SA,C-C/00006,4498.78,18285.52,Hecho
43,6320-C-C/00007,7,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00008,2025-11-05,14,05/11/2025,ALUBIX SL,C-C/00007,3988.16,22273.68,Hecho
44,6320-C-C/00008,8,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00009,2025-11-05,16,05/11/2025,ROCALLA SA,C-C/00008,3954.28,26227.96,Hecho
45,6320-C-C/00009,9,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00010,2025-11-12,19,12/11/2025,ROCALLA SA,C-C/00009,3809.08,30037.04,Hecho
46,6320-C-C/00010,10,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00011,2025-11-12,19,12/11/2025,ALUBIX SL,C-C/00010,3988.16,34025.20,Hecho
47,6320-C-C/00011,11,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00013,2025-11-20,21,20/11/2025,ALUBIX SL,C-C/00011,4539.92,38565.12,Hecho
48,6320-C-C/00012,12,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00014,2025-11-20,20,20/11/2025,ROCALLA SA,C-C/00012,4014.78,42579.90,Hecho
49,6320-C-C/00013,13,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00015,2025-11-26,24,26/11/2025,ALUBIX SL,C-C/00013,4653.66,47233.56,Hecho
50,6320-C-C/00014,14,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00016,2025-11-26,22,26/11/2025,ROCALLA SA,C-C/00014,4602.84,51836.40,Hecho
51,6320-C-C/00015,15,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00017,2025-12-03,28,03/12/2025,ALUBIX SL,C-C/00015,4087.38,55923.78,Hecho
52,6320-C-C/00016,16,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00018,2025-12-03,25,03/12/2025,ROCALLA SA,C-C/00016,4232.58,60156.36,Hecho
53,6320-C-C/00017,17,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00019,2025-12-10,32,10/12/2025,ALUBIX SL,C-C/00017,4334.22,64490.58,Hecho
54,6320-C-C/00018,18,6320,ADG32 6320 MNAVARRO SL,MGZ01/ENTRA/00020,2025-12-10,26,10/12/2025,ROCALLA SA,C-C/00018,4365.68,68856.26,Hecho
55,6352-C-C/00001,1,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00001,2025-10-17,3,17/10/2025,ROCALLA SA,C-C/00001,1056.33,1056.33,Hecho
56,6352-C-C/00002,2,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00002,2025-10-17,4,17/10/2025,ALUBIX SL,C-C/00002,1266.87,2323.20,Hecho
57,6352-C-C/00003,3,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00003,2025-10-23,8,22/10/2025,ALUBIX SL,C-C/00003,4020.23,6343.43,Hecho
58,6352-C-C/00004,4,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00004,2025-10-23,5,22/10/2025,ROCALLA SA,C-C/00004,3661.46,10004.89,Hecho
59,6352-C-C/00005,5,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00005,2025-10-29,13,29/10/2025,ALUBIX SL,C-C/00005,4325.15,14330.04,Hecho
60,6352-C-C/00006,6,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00007,2025-10-29,6,29/10/2025,ROCALLA SA,C-C/00006,3539.25,17869.29,Hecho
61,6352-C-C/00007,7,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00008,2025-11-05,15,05/11/2025,ALUBIX SL,C-C/00007,4266.46,22135.75,Hecho
62,6352-C-C/00008,8,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00009,2025-11-05,8,05/11/2025,ROCALLA SA,C-C/00008,3643.31,25779.06,Hecho
63,6352-C-C/00009,9,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00011,2025-11-12,20,12/11/2025,ALUBIX SL,C-C/00009,4049.27,29828.33,Hecho
64,6352-C-C/00010,10,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00012,2025-11-12,12,12/11/2025,ROCALLA SA,C-C/00010,3403.73,33232.06,Hecho
65,6352-C-C/00011,11,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00013,2025-11-20,24,19/11/2025,ALUBIX SL,C-C/00011,3916.77,37148.83,Hecho
66,6352-C-C/00012,12,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00014,2025-11-20,16,19/11/2025,ROCALLA SA,C-C/00012,3781.25,40930.08,Hecho
67,6352-C-C/00013,13,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00015,2025-11-26,25,26/11/2025,ALUBIX SL,C-C/00013,4823.06,45753.14,Hecho
68,6352-C-C/00014,14,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00016,2025-11-26,19,26/11/2025,ROCALLA SA,C-C/00014,4241.05,49994.19,Hecho
69,6352-C-C/00015,15,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00017,2025-12-03,27,03/12/2025,ALUBIX SL,C-C/00015,4040.80,54034.99,Hecho
70,6352-C-C/00016,16,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00018,2025-12-03,24,03/12/2025,ROCALLA SA,C-C/00016,3861.11,57896.10,Hecho
71,6352-C-C/00017,17,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00019,2025-12-10,28,10/12/2025,ALUBIX SL,C-C/00017,4420.74,62316.84,Hecho
72,6352-C-C/00018,18,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00020,2025-12-10,29,10/12/2025,ROCALLA SA,C-C/00018,3950.65,66267.49,Hecho
