A_IDTOTS_CP,A_CLAU_UNICA_CP,A_ID_CP,A_EXPEDIENT_CP,A_EMPRESA_CP,A_REF_ODOO_CP,A_FECHA_ALTA_ODOO_CP,A_NUMERO_CP,A_FECHA_EMISION_CP,A_PROVEEDOR_CP,A_IMPORTE_CP,A_ACUMULADO_CP,A_ESTADO_CP,A_ESTADO_FACTURACION_CP
26,6265-C-C/00008,8,6265,ADG32 6265 SMORENO SL,C-C/00008,2025-11-05,542324,2025-11-05,ROCALLA SA,4641.56,27062.86,Pedido de compra,Totalmente facturado
27,6265-C-C/00009,9,6265,ADG32 6265 SMORENO SL,C-C/00009,2025-11-12,544980,2025-11-12,ALUBIX SL,3760.68,30823.54,Pedido de compra,Totalmente facturado
28,6265-C-C/00010,10,6265,ADG32 6265 SMORENO SL,C-C/00010,2025-11-12,544983,2025-11-12,ROCALLA SA,3886.52,34710.06,Pedido de compra,Totalmente facturado
29,6265-C-C/00011,11,6265,ADG32 6265 SMORENO SL,C-C/00011,2025-11-19,547940,2025-11-19,ALUBIX SL,4780.71,39490.77,Pedido de compra,Totalmente facturado
30,6265-C-C/00012,12,6265,ADG32 6265 SMORENO SL,C-C/00012,2025-11-19,547942,2025-11-19,ROCALLA SA,3644.52,43135.29,Pedido de compra,Totalmente facturado
31,6265-C-C/00013,13,6265,ADG32 6265 SMORENO SL,C-C/00013,2025-11-26,551295,2025-11-26,ROCALLA SA,3455.76,46591.05,Pedido de compra,Totalmente facturado
32,6265-C-C/00014,14,6265,ADG32 6265 SMORENO SL,C-C/00014,2025-11-26,551286,2025-11-26,ALUBIX SL,5021.50,51612.55,Pedido de compra,Totalmente facturado
33,6265-C-C/00015,15,6265,ADG32 6265 SMORENO SL,C-C/00015,2025-12-03,554294,2025-12-03,ALUBIX SL,5042.07,56654.62,Pedido de compra,Totalmente facturado
34,6265-C-C/00016,16,6265,ADG32 6265 SMORENO SL,C-C/00016,2025-12-03,554301,2025-12-03,ROCALLA SA,3463.02,60117.64,Pedido de compra,Totalmente facturado
35,6265-C-C/00017,17,6265,ADG32 6265 SMORENO SL,C-C/00017,2025-12-10,556846,2025-12-10,ALUBIX SL,3903.46,64021.10,Pedido de compra,Totalmente facturado
36,6265-C-C/00018,18,6265,ADG32 6265 SMORENO SL,C-C/00018,2025-12-10,556853,2025-12-10,ROCALLA SA,3840.54,67861.64,Pedido de compra,Totalmente facturado
37,6320-C-C/00001,1,6320,ADG32 6320 MNAVARRO SL,C-C/00001,2025-10-20,536438,2025-10-20,ALUBIX SL,1193.06,1193.06,Pedido de compra,Totalmente facturado
38,6320-C-C/00002,2,6320,ADG32 6320 MNAVARRO SL,C-C/00002,2025-10-20,536437,2025-10-20,ROCALLA SA,1173.70,2366.76,Pedido de compra,Totalmente facturado
39,6320-C-C/00003,3,6320,ADG32 6320 MNAVARRO SL,C-C/00003,2025-10-22,537484,2025-10-22,ALUBIX SL,3494.48,5861.24,Pedido de compra,Totalmente facturado
40,6320-C-C/00004,4,6320,ADG32 6320 MNAVARRO SL,C-C/00004,2025-10-22,537486,2025-10-22,ROCALLA SA,3506.58,9367.82,Pedido de compra,Totalmente facturado
41,6320-C-C/00005,5,6320,ADG32 6320 MNAVARRO SL,C-C/00005,2025-10-29,540056,2025-10-29,ALUBIX SL,4418.92,13786.74,Pedido de compra,Totalmente facturado
42,6320-C-C/00006,6,6320,ADG32 6320 MNAVARRO SL,C-C/00006,2025-10-29,540057,2025-10-29,ROCALLA SA,4498.78,18285.52,Pedido de compra,Totalmente facturado
43,6320-C-C/00007,7,6320,ADG32 6320 MNAVARRO SL,C-C/00007,2025-11-05,542290,2025-11-05,ALUBIX SL,3988.16,22273.68,Pedido de compra,Totalmente facturado
44,6320-C-C/00008,8,6320,ADG32 6320 MNAVARRO SL,C-C/00008,2025-11-05,542293,2025-11-05,ROCALLA SA,3954.28,26227.96,Pedido de compra,Totalmente facturado
45,6320-C-C/00009,9,6320,ADG32 6320 MNAVARRO SL,C-C/00009,2025-11-12,544981,2025-11-12,ROCALLA SA,3809.08,30037.04,Pedido de compra,Totalmente facturado
46,6320-C-C/00010,10,6320,ADG32 6320 MNAVARRO SL,C-C/00010,2025-11-12,544975,2025-11-12,ALUBIX SL,3988.16,34025.20,Pedido de compra,Totalmente facturado
47,6320-C-C/00011,11,6320,ADG32 6320 MNAVARRO SL,C-C/00011,2025-11-20,549047,2025-11-20,ALUBIX SL,4539.92,38565.12,Pedido de compra,Totalmente facturado
48,6320-C-C/00012,12,6320,ADG32 6320 MNAVARRO SL,C-C/00012,2025-11-20,549048,2025-11-20,ROCALLA SA,4014.78,42579.90,Pedido de compra,Totalmente facturado
49,6320-C-C/00013,13,6320,ADG32 6320 MNAVARRO SL,C-C/00013,2025-11-26,551254,2025-11-26,ALUBIX SL,4653.66,47233.56,Pedido de compra,Totalmente facturado
50,6320-C-C/00014,14,6320,ADG32 6320 MNAVARRO SL,C-C/00014,2025-11-26,551267,2025-11-26,ROCALLA SA,4602.84,51836.40,Pedido de compra,Totalmente facturado
51,6320-C-C/00015,15,6320,ADG32 6320 MNAVARRO SL,C-C/00015,2025-12-03,554277,2025-12-03,ALUBIX SL,4087.38,55923.78,Pedido de compra,Totalmente facturado
52,6320-C-C/00016,16,6320,ADG32 6320 MNAVARRO SL,C-C/00016,2025-12-03,554290,2025-12-03,ROCALLA SA,4232.58,60156.36,Pedido de compra,Totalmente facturado
53,6320-C-C/00017,17,6320,ADG32 6320 MNAVARRO SL,C-C/00017,2025-12-10,556839,2025-12-10,ALUBIX SL,4334.22,64490.58,Pedido de compra,Totalmente facturado
54,6320-C-C/00018,18,6320,ADG32 6320 MNAVARRO SL,C-C/00018,2025-12-10,556843,2025-12-10,ROCALLA SA,4365.68,68856.26,Pedido de compra,Totalmente facturado
55,6352-C-C/00001,1,6352,ADG32 6352 SAANANOU SL,C-C/00001,2025-10-17,535312,2025-10-17,ROCALLA SA,1056.33,1056.33,Pedido de compra,Totalmente facturado
56,6352-C-C/00002,2,6352,ADG32 6352 SAANANOU SL,C-C/00002,2025-10-17,535285,2025-10-17,ALUBIX SL,1266.87,2323.20,Pedido de compra,Totalmente facturado
57,6352-C-C/00003,3,6352,ADG32 6352 SAANANOU SL,C-C/00003,2025-10-23,537112,2025-10-22,ALUBIX SL,4020.23,6343.43,Pedido de compra,Totalmente facturado
58,6352-C-C/00004,4,6352,ADG32 6352 SAANANOU SL,C-C/00004,2025-10-23,537115,2025-10-22,ROCALLA SA,3661.46,10004.89,Pedido de compra,Totalmente facturado
59,6352-C-C/00005,5,6352,ADG32 6352 SAANANOU SL,C-C/00005,2025-10-29,540133,2025-10-29,ALUBIX SL,4325.15,14330.04,Pedido de compra,Totalmente facturado
60,6352-C-C/00006,6,6352,ADG32 6352 SAANANOU SL,C-C/00006,2025-10-29,540134,2025-10-29,ROCALLA SA,3539.25,17869.29,Pedido de compra,Totalmente facturado
61,6352-C-C/00007,7,6352,ADG32 6352 SAANANOU SL,C-C/00007,2025-11-05,542386,2025-11-05,ALUBIX SL,4266.46,22135.75,Pedido de compra,Totalmente facturado
62,6352-C-C/00008,8,6352,ADG32 6352 SAANANOU SL,C-C/00008,2025-11-05,542389,2025-11-05,ROCALLA SA,3643.31,25779.06,Pedido de compra,Totalmente facturado
63,6352-C-C/00009,9,6352,ADG32 6352 SAANANOU SL,C-C/00009,2025-11-12,545031,2025-11-12,ALUBIX SL,4049.27,29828.33,Pedido de compra,Totalmente facturado
64,6352-C-C/00010,10,6352,ADG32 6352 SAANANOU SL,C-C/00010,2025-11-12,545032,2025-11-12,ROCALLA SA,3403.73,33232.06,Pedido de compra,Totalmente facturado
65,6352-C-C/00011,11,6352,ADG32 6352 SAANANOU SL,C-C/00011,2025-11-20,548396,2025-11-19,ALUBIX SL,3916.77,37148.83,Pedido de compra,Totalmente facturado
66,6352-C-C/00012,12,6352,ADG32 6352 SAANANOU SL,C-C/00012,2025-11-20,548397,2025-11-19,ROCALLA SA,3781.25,40930.08,Pedido de compra,Totalmente facturado
67,6352-C-C/00013,13,6352,ADG32 6352 SAANANOU SL,C-C/00013,2025-11-26,551300,2025-11-26,ALUBIX SL,4823.06,45753.14,Pedido de compra,Totalmente facturado
68,6352-C-C/00014,14,6352,ADG32 6352 SAANANOU SL,C-C/00014,2025-11-26,551301,2025-11-26,ROCALLA SA,4241.05,49994.19,Pedido de compra,Totalmente facturado
69,6352-C-C/00015,15,6352,ADG32 6352 SAANANOU SL,C-C/00015,2025-12-03,554360,2025-12-03,ALUBIX SL,4040.80,54034.99,Pedido de compra,Totalmente facturado
70,6352-C-C/00016,16,6352,ADG32 6352 SAANANOU SL,C-C/00016,2025-12-03,554362,2025-12-03,ROCALLA SA,3861.11,57896.10,Pedido de compra,Totalmente facturado
71,6352-C-C/00017,17,6352,ADG32 6352 SAANANOU SL,C-C/00017,2025-12-10,556920,2025-12-10,ALUBIX SL,4420.74,62316.84,Pedido de compra,Totalmente facturado
72,6352-C-C/00018,18,6352,ADG32 6352 SAANANOU SL,C-C/00018,2025-12-10,556921,2025-12-10,ROCALLA SA,3950.65,66267.49,Pedido de compra,Totalmente facturado
