ID-TOTS,ID,A_EXPEDIENT_HES,A_EMPRESA_HES,A_PRODUCTE_HES,A_DATA_HES,A_REFERENCIA_HES,A_ORIGEN_HES,A_DESTI_HES,A_UNITATS_HES,A_IN_HES,A_OUT_HES,A_STOCK_HES,A_OPERACIO_HES,A_CLAU_UNICA_HES,A_ESTAT_HES
22,97,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,31,,31,0,OP_INTERMITJA,5796_AP8461_,Hecho
23,102,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:09:24,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,120,120,,120,OP_INTERMITJA,5796_AP8461_,Hecho
24,105,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,41,,41,79,OP_INTERMITJA,5796_AP8461_,Hecho
25,108,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,39,,39,40,OP_INTERMITJA,5796_AP8461_,Hecho
26,115,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,40,,40,0,OP_INTERMITJA,5796_AP8461_,Hecho
27,118,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:44:19,MGZ01/ENTRA/00019,Vendors,MGZ01/Stock,97,97,,97,OP_INTERMITJA,5796_AP8461_,Hecho
28,121,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:48:23,MGZ01/SURT/00022,MGZ01/Stock,Customers,31,,31,66,OP_INTERMITJA,5796_AP8461_,Hecho
29,124,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:49:30,MGZ01/SURT/00023,MGZ01/Stock,Customers,36,,36,30,OP_INTERMITJA,5796_AP8461_,Hecho
30,131,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:50:19,MGZ01/SURT/00024,MGZ01/Stock,Customers,30,,30,0,OP_INTERMITJA,5796_AP8461_,Hecho
31,132,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:03:52,MGZ01/ENTRA/00020,Vendors,MGZ01/Stock,1,1,,1,OP_INTERMITJA,5796_AP8461_,Hecho
32,136,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:17:58,MGZ01/SURT/00025,MGZ01/Stock,Vendors,1,,1,0,OP_INTERMITJA,5796_AP8461_,Hecho
33,138,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:23:36,MGZ01/ENTRA/00023,Vendors,MGZ01/Stock,99,99,,99,OP_INTERMITJA,5796_AP8461_,Hecho
34,140,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:26:09,MGZ01/SURT/00031,MGZ01/Stock,Customers,24,,24,75,OP_INTERMITJA,5796_AP8461_,Hecho
35,144,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:27:12,MGZ01/SURT/00032,MGZ01/Stock,Customers,41,,41,34,OP_INTERMITJA,5796_AP8461_,Hecho
36,151,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:30:33,MGZ01/SURT/00033,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,5796_AP8461_,Hecho
37,152,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-18 08:17:26,MGZ01/ENTRA/00024,Vendors,MGZ01/Stock,97,97,,97,OP_INTERMITJA,5796_AP8461_,Hecho
38,158,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-18 08:24:22,MGZ01/SURT/00034,MGZ01/Stock,Customers,35,,35,62,OP_INTERMITJA,5796_AP8461_,Hecho
39,161,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-18 08:25:17,MGZ01/SURT/00035,MGZ01/Stock,Customers,25,,25,37,OP_INTERMITJA,5796_AP8461_,Hecho
40,164,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-18 08:26:13,MGZ01/SURT/00036,MGZ01/Stock,Customers,37,,37,0,OP_FINAL,5796_AP8461_,Hecho
41,3,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-17 09:41:02,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,34,34,,34,OP_INICIAL,5796_DF4598_,Hecho
42,7,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,5796_DF4598_,Hecho
43,11,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-22 12:50:44,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,5796_DF4598_,Hecho
44,15,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-22 12:56:11,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,105,105,,210,OP_INTERMITJA,5796_DF4598_,Hecho
48,29,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:29:24,Cantidad de producto actualizada (Nadal Sacares Moragues),MGZ01/Stock,Inventory adjustment,0,,0,210,OP_INTERMITJA,5796_DF4598_,Hecho
45,19,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,26,,26,184,OP_INTERMITJA,5796_DF4598_,Hecho
46,22,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,43,,43,141,OP_INTERMITJA,5796_DF4598_,Hecho
47,25,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,36,,36,105,OP_INTERMITJA,5796_DF4598_,Hecho
49,31,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-24 09:47:58,MGZ01/SURT/00006,MGZ01/Stock,Vendors,105,,105,0,OP_INTERMITJA,5796_DF4598_,Hecho
50,33,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-24 09:49:27,Cantidad de producto actualizada (Nadal Sacares Moragues),Inventory adjustment,MGZ01/Stock,0,0,,0,OP_INTERMITJA,5796_DF4598_,Hecho
51,35,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:11:44,Cantidad de producto actualizada (Nadal Sacares Moragues) [revertido],MGZ01/Stock,Inventory adjustment,0,,0,0,OP_INTERMITJA,5796_DF4598_,Hecho
52,38,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:30:26,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,90,90,,90,OP_INTERMITJA,5796_DF4598_,Hecho
53,43,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,29,,29,61,OP_INTERMITJA,5796_DF4598_,Hecho
54,44,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,27,,27,34,OP_INTERMITJA,5796_DF4598_,Hecho
55,48,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,5796_DF4598_,Hecho
56,54,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:27:21,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,116,116,,116,OP_INTERMITJA,5796_DF4598_,Hecho
57,59,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,28,,28,88,OP_INTERMITJA,5796_DF4598_,Hecho
58,60,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,42,,42,46,OP_INTERMITJA,5796_DF4598_,Hecho
59,66,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,46,,46,0,OP_INTERMITJA,5796_DF4598_,Hecho
60,68,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:05:58,MGZ01/ENTRA/00011,Vendors,MGZ01/Stock,111,111,,111,OP_INTERMITJA,5796_DF4598_,Hecho
61,73,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,38,,38,73,OP_INTERMITJA,5796_DF4598_,Hecho
62,77,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,41,,41,32,OP_INTERMITJA,5796_DF4598_,Hecho
63,83,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,32,,32,0,OP_INTERMITJA,5796_DF4598_,Hecho
64,84,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:09:18,MGZ01/ENTRA/00013,Vendors,MGZ01/Stock,91,91,,91,OP_INTERMITJA,5796_DF4598_,Hecho
65,88,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,37,,37,54,OP_INTERMITJA,5796_DF4598_,Hecho
66,94,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,30,,30,24,OP_INTERMITJA,5796_DF4598_,Hecho
67,99,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,24,,24,0,OP_INTERMITJA,5796_DF4598_,Hecho
68,100,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:08:09,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,98,98,,98,OP_INTERMITJA,5796_DF4598_,Hecho
69,106,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,28,,28,70,OP_INTERMITJA,5796_DF4598_,Hecho
70,109,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,33,,33,37,OP_INTERMITJA,5796_DF4598_,Hecho
71,113,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,37,,37,0,OP_INTERMITJA,5796_DF4598_,Hecho
72,116,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:41:59,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,113,113,,113,OP_INTERMITJA,5796_DF4598_,Hecho
73,122,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:48:23,MGZ01/SURT/00022,MGZ01/Stock,Customers,40,,40,73,OP_INTERMITJA,5796_DF4598_,Hecho
74,127,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:49:30,MGZ01/SURT/00023,MGZ01/Stock,Customers,32,,32,41,OP_INTERMITJA,5796_DF4598_,Hecho
75,130,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:50:19,MGZ01/SURT/00024,MGZ01/Stock,Customers,41,,41,0,OP_INTERMITJA,5796_DF4598_,Hecho
76,134,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:07:55,MGZ01/ENTRA/00022,Vendors,MGZ01/Stock,111,111,,111,OP_INTERMITJA,5796_DF4598_,Hecho
77,143,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:26:09,MGZ01/SURT/00031,MGZ01/Stock,Customers,40,,40,71,OP_INTERMITJA,5796_DF4598_,Hecho
78,145,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:27:12,MGZ01/SURT/00032,MGZ01/Stock,Customers,31,,31,40,OP_INTERMITJA,5796_DF4598_,Hecho
79,148,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:30:33,MGZ01/SURT/00033,MGZ01/Stock,Customers,40,,40,0,OP_INTERMITJA,5796_DF4598_,Hecho
80,154,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-18 08:19:56,MGZ01/ENTRA/00025,Vendors,MGZ01/Stock,108,108,,108,OP_INTERMITJA,5796_DF4598_,Hecho
81,156,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-18 08:24:22,MGZ01/SURT/00034,MGZ01/Stock,Customers,36,,36,72,OP_INTERMITJA,5796_DF4598_,Hecho
82,162,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-18 08:25:17,MGZ01/SURT/00035,MGZ01/Stock,Customers,33,,33,39,OP_INTERMITJA,5796_DF4598_,Hecho
83,165,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-18 08:26:13,MGZ01/SURT/00036,MGZ01/Stock,Customers,39,,39,0,OP_FINAL,5796_DF4598_,Hecho
84,6,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-17 09:44:32,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,29,29,,29,OP_INICIAL,5796_FA6235_,Hecho
85,10,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,5796_FA6235_,Hecho
86,14,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-22 12:54:43,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,5796_FA6235_,Hecho
87,18,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,29,,29,76,OP_INTERMITJA,5796_FA6235_,Hecho
88,21,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,36,,36,40,OP_INTERMITJA,5796_FA6235_,Hecho
89,28,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,40,,40,0,OP_INTERMITJA,5796_FA6235_,Hecho
90,37,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:28:14,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,94,94,,94,OP_INTERMITJA,5796_FA6235_,Hecho
91,40,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,32,,32,62,OP_INTERMITJA,5796_FA6235_,Hecho
92,45,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,28,,28,34,OP_INTERMITJA,5796_FA6235_,Hecho
93,51,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,5796_FA6235_,Hecho
94,53,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:23:59,MGZ01/ENTRA/00009,Vendors,MGZ01/Stock,88,88,,88,OP_INTERMITJA,5796_FA6235_,Hecho
95,57,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,21,,21,67,OP_INTERMITJA,5796_FA6235_,Hecho
96,63,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,36,,36,31,OP_INTERMITJA,5796_FA6235_,Hecho
97,67,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,31,,31,0,OP_INTERMITJA,5796_FA6235_,Hecho
98,71,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:07:57,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,107,107,,107,OP_INTERMITJA,5796_FA6235_,Hecho
99,72,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,38,,38,69,OP_INTERMITJA,5796_FA6235_,Hecho
100,79,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,41,,41,28,OP_INTERMITJA,5796_FA6235_,Hecho
101,82,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,28,,28,0,OP_INTERMITJA,5796_FA6235_,Hecho
102,87,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:10:07,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,98,98,,98,OP_INTERMITJA,5796_FA6235_,Hecho
103,89,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,28,,28,70,OP_INTERMITJA,5796_FA6235_,Hecho
104,95,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,34,,34,36,OP_INTERMITJA,5796_FA6235_,Hecho
105,98,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,36,,36,0,OP_INTERMITJA,5796_FA6235_,Hecho
106,103,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:09:24,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,81,81,,81,OP_INTERMITJA,5796_FA6235_,Hecho
107,107,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,30,,30,51,OP_INTERMITJA,5796_FA6235_,Hecho
108,111,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,16,,16,35,OP_INTERMITJA,5796_FA6235_,Hecho
109,114,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,35,,35,0,OP_INTERMITJA,5796_FA6235_,Hecho
110,119,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:44:19,MGZ01/ENTRA/00019,Vendors,MGZ01/Stock,102,102,,102,OP_INTERMITJA,5796_FA6235_,Hecho
111,120,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:48:23,MGZ01/SURT/00022,MGZ01/Stock,Customers,31,,31,71,OP_INTERMITJA,5796_FA6235_,Hecho
112,126,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:49:30,MGZ01/SURT/00023,MGZ01/Stock,Customers,37,,37,34,OP_INTERMITJA,5796_FA6235_,Hecho
113,129,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:50:19,MGZ01/SURT/00024,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,5796_FA6235_,Hecho
114,133,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:03:52,MGZ01/ENTRA/00020,Vendors,MGZ01/Stock,1,1,,1,OP_INTERMITJA,5796_FA6235_,Hecho
115,137,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:17:58,MGZ01/SURT/00025,MGZ01/Stock,Vendors,1,,1,0,OP_INTERMITJA,5796_FA6235_,Hecho
116,139,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:23:36,MGZ01/ENTRA/00023,Vendors,MGZ01/Stock,110,110,,110,OP_INTERMITJA,5796_FA6235_,Hecho
117,142,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:26:09,MGZ01/SURT/00031,MGZ01/Stock,Customers,33,,33,77,OP_INTERMITJA,5796_FA6235_,Hecho
118,146,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:27:12,MGZ01/SURT/00032,MGZ01/Stock,Customers,36,,36,41,OP_INTERMITJA,5796_FA6235_,Hecho
119,149,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:30:33,MGZ01/SURT/00033,MGZ01/Stock,Customers,41,,41,0,OP_INTERMITJA,5796_FA6235_,Hecho
120,153,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-18 08:17:26,MGZ01/ENTRA/00024,Vendors,MGZ01/Stock,121,121,,121,OP_INTERMITJA,5796_FA6235_,Hecho
121,159,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-18 08:24:22,MGZ01/SURT/00034,MGZ01/Stock,Customers,48,,48,73,OP_INTERMITJA,5796_FA6235_,Hecho
122,160,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-18 08:25:17,MGZ01/SURT/00035,MGZ01/Stock,Customers,41,,41,32,OP_INTERMITJA,5796_FA6235_,Hecho
123,167,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-18 08:26:13,MGZ01/SURT/00036,MGZ01/Stock,Customers,32,,32,0,OP_FINAL,5796_FA6235_,Hecho
124,1,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-10 11:02:40,Cantidad de producto actualizada (Nadal Sacares Moragues),Inventory adjustment,MGZ01/Stock,0,0,,0,OP_INICIAL,5796_LA5365_,Hecho
125,2,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-17 09:17:21,Cantidad de producto actualizada (Nadal Sacares Moragues),MGZ01/Stock,Inventory adjustment,0,,0,0,OP_INTERMITJA,5796_LA5365_,Hecho
126,4,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-17 09:41:02,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,29,29,,29,OP_INTERMITJA,5796_LA5365_,Hecho
127,9,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,5796_LA5365_,Hecho
128,12,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-22 12:50:44,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,5796_LA5365_,Hecho
129,16,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-22 12:56:11,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,105,105,,210,OP_INTERMITJA,5796_LA5365_,Hecho
133,30,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-23 08:29:30,Cantidad de producto actualizada (Nadal Sacares Moragues),MGZ01/Stock,Inventory adjustment,0,,0,210,OP_INTERMITJA,5796_LA5365_,Hecho
130,17,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,30,,30,180,OP_INTERMITJA,5796_LA5365_,Hecho
