ID-TOTS,ID,A_EXPEDIENT_HES,A_EMPRESA_HES,A_PRODUCTE_HES,A_DATA_HES,A_REFERENCIA_HES,A_ORIGEN_HES,A_DESTI_HES,A_UNITATS_HES,A_IN_HES,A_OUT_HES,A_STOCK_HES,A_OPERACIO_HES,A_ESTAT_HES
67,31,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,37,,37,0,OP_INTERMITJA,Hecho
68,32,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:41:59,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,113,113,,113,OP_INTERMITJA,Hecho
69,33,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:48:23,MGZ01/SURT/00022,MGZ01/Stock,Customers,40,,40,73,OP_INTERMITJA,Hecho
70,34,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:49:30,MGZ01/SURT/00023,MGZ01/Stock,Customers,32,,32,41,OP_INTERMITJA,Hecho
71,35,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-04 08:50:19,MGZ01/SURT/00024,MGZ01/Stock,Customers,41,,41,0,OP_INTERMITJA,Hecho
72,36,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:07:55,MGZ01/ENTRA/00022,Vendors,MGZ01/Stock,111,111,,111,OP_INTERMITJA,Hecho
73,37,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:26:09,MGZ01/SURT/00031,MGZ01/Stock,Customers,40,,40,71,OP_INTERMITJA,Hecho
74,38,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:27:12,MGZ01/SURT/00032,MGZ01/Stock,Customers,31,,31,40,OP_INTERMITJA,Hecho
75,39,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-12-11 08:30:33,MGZ01/SURT/00033,MGZ01/Stock,Customers,40,,40,0,OP_FINAL,Hecho
76,1,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-17 09:44:32,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,29,29,,29,OP_INICIAL,Hecho
77,2,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,Hecho
78,3,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-22 12:54:43,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,Hecho
79,4,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,29,,29,76,OP_INTERMITJA,Hecho
80,5,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,36,,36,40,OP_INTERMITJA,Hecho
81,6,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,40,,40,0,OP_INTERMITJA,Hecho
82,7,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:28:14,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,94,94,,94,OP_INTERMITJA,Hecho
83,8,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,32,,32,62,OP_INTERMITJA,Hecho
84,9,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,28,,28,34,OP_INTERMITJA,Hecho
85,10,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,Hecho
86,11,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:23:59,MGZ01/ENTRA/00009,Vendors,MGZ01/Stock,88,88,,88,OP_INTERMITJA,Hecho
87,12,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,21,,21,67,OP_INTERMITJA,Hecho
88,13,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,36,,36,31,OP_INTERMITJA,Hecho
89,14,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,31,,31,0,OP_INTERMITJA,Hecho
90,15,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:07:57,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,107,107,,107,OP_INTERMITJA,Hecho
91,16,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,38,,38,69,OP_INTERMITJA,Hecho
92,17,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,41,,41,28,OP_INTERMITJA,Hecho
93,18,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,28,,28,0,OP_INTERMITJA,Hecho
94,19,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:10:07,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,98,98,,98,OP_INTERMITJA,Hecho
95,20,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,28,,28,70,OP_INTERMITJA,Hecho
96,21,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,34,,34,36,OP_INTERMITJA,Hecho
97,22,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,36,,36,0,OP_INTERMITJA,Hecho
98,23,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:09:24,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,81,81,,81,OP_INTERMITJA,Hecho
99,24,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,30,,30,51,OP_INTERMITJA,Hecho
100,25,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,16,,16,35,OP_INTERMITJA,Hecho
101,26,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,35,,35,0,OP_INTERMITJA,Hecho
102,27,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:44:19,MGZ01/ENTRA/00019,Vendors,MGZ01/Stock,102,102,,102,OP_INTERMITJA,Hecho
103,28,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:48:23,MGZ01/SURT/00022,MGZ01/Stock,Customers,31,,31,71,OP_INTERMITJA,Hecho
104,29,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:49:30,MGZ01/SURT/00023,MGZ01/Stock,Customers,37,,37,34,OP_INTERMITJA,Hecho
105,30,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-04 08:50:19,MGZ01/SURT/00024,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,Hecho
106,31,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:03:52,MGZ01/ENTRA/00020,Vendors,MGZ01/Stock,1,1,,1,OP_INTERMITJA,Hecho
107,32,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:17:58,MGZ01/SURT/00025,MGZ01/Stock,Vendors,1,,1,0,OP_INTERMITJA,Hecho
108,33,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:23:36,MGZ01/ENTRA/00023,Vendors,MGZ01/Stock,110,110,,110,OP_INTERMITJA,Hecho
109,34,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:26:09,MGZ01/SURT/00031,MGZ01/Stock,Customers,33,,33,77,OP_INTERMITJA,Hecho
110,35,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:27:12,MGZ01/SURT/00032,MGZ01/Stock,Customers,36,,36,41,OP_INTERMITJA,Hecho
111,36,5796,ADG32 5796 NSACARES SL,_FA6235_,2025-12-11 08:30:33,MGZ01/SURT/00033,MGZ01/Stock,Customers,41,,41,0,OP_FINAL,Hecho
112,1,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-10 11:02:40,Cantidad de producto actualizada (Nadal Sacares Moragues),Inventory adjustment,MGZ01/Stock,0,0,,0,OP_INICIAL,Hecho
113,2,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-17 09:17:21,Cantidad de producto actualizada (Nadal Sacares Moragues),MGZ01/Stock,Inventory adjustment,0,,0,0,OP_INTERMITJA,Hecho
114,3,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-17 09:41:02,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,29,29,,29,OP_INTERMITJA,Hecho
115,4,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,29,,29,0,OP_INTERMITJA,Hecho
116,5,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-22 12:50:44,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,Hecho
117,6,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-22 12:56:11,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,105,105,,210,OP_INTERMITJA,Hecho
118,7,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-23 08:29:30,Cantidad de producto actualizada (Nadal Sacares Moragues),MGZ01/Stock,Inventory adjustment,0,,0,210,OP_INTERMITJA,Hecho
119,8,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,30,,30,180,OP_INTERMITJA,Hecho
120,9,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,25,,25,155,OP_INTERMITJA,Hecho
121,10,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,50,,50,105,OP_INTERMITJA,Hecho
122,11,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-24 09:47:58,MGZ01/SURT/00006,MGZ01/Stock,Vendors,105,,105,0,OP_INTERMITJA,Hecho
123,12,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-24 09:49:37,Cantidad de producto actualizada (Nadal Sacares Moragues),Inventory adjustment,MGZ01/Stock,0,0,,0,OP_INTERMITJA,Hecho
124,13,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-29 09:30:26,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,115,115,,115,OP_INTERMITJA,Hecho
125,14,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,36,,36,79,OP_INTERMITJA,Hecho
126,15,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,30,,30,49,OP_INTERMITJA,Hecho
127,16,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,49,,49,0,OP_INTERMITJA,Hecho
128,17,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-05 09:27:21,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,98,98,,98,OP_INTERMITJA,Hecho
129,18,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,34,,34,64,OP_INTERMITJA,Hecho
130,19,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,33,,33,31,OP_INTERMITJA,Hecho
131,20,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,31,,31,0,OP_INTERMITJA,Hecho
132,21,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-12 09:05:58,MGZ01/ENTRA/00011,Vendors,MGZ01/Stock,106,106,,106,OP_INTERMITJA,Hecho
133,22,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,35,,35,71,OP_INTERMITJA,Hecho
134,23,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,38,,38,33,OP_INTERMITJA,Hecho
135,24,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,33,,33,0,OP_INTERMITJA,Hecho
136,25,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-19 09:09:18,MGZ01/ENTRA/00013,Vendors,MGZ01/Stock,81,81,,81,OP_INTERMITJA,Hecho
137,26,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,27,,27,54,OP_INTERMITJA,Hecho
138,27,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,26,,26,28,OP_INTERMITJA,Hecho
139,28,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,28,,28,0,OP_INTERMITJA,Hecho
140,29,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-26 09:08:09,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,93,93,,93,OP_INTERMITJA,Hecho
141,30,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,36,,36,57,OP_INTERMITJA,Hecho
142,31,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,24,,24,33,OP_INTERMITJA,Hecho
143,32,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,33,,33,0,OP_INTERMITJA,Hecho
144,33,5796,ADG32 5796 NSACARES SL,_LA5365_,2025-12-04 08:41:59,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,84,84,,84,OP_INTERMITJA,Hecho
